unit,players,type,toi_sec,toi_min,gf,ga,sf,sa,xgf,xga,gf_pct,sf_pct,xgf_pct,team,complementarity,pass_links,pass_links_per60,chemistry_index
Hunt-Spacek,"['Hunt Daemon', 'Spacek David']",pairing,900,15.0,1,2,9,17,0.47,0.96,33.3,34.6,32.8,Minnesota Wild,14588.617,7,28.0,0.791
Brodin-Petry,"['Brodin Jonas', 'Petry Jeff']",pairing,855,14.2,0,0,1,4,0.03,0.14,,20.0,17.0,Minnesota Wild,3323.165,9,37.89,
Hughes-Hunt,"['Hughes Quinn', 'Hunt Daemon']",pairing,789,13.2,0,1,2,4,0.06,0.34,0.0,33.3,15.4,Minnesota Wild,281438.436,7,31.94,
Jiricek-Spurgeon,"['Jiricek David', 'Spurgeon Jared']",pairing,598,10.0,0,0,0,0,0.0,0.0,,,,Minnesota Wild,1812.135,6,36.12,
Hughes-Jiricek,"['Hughes Quinn', 'Jiricek David']",pairing,583,9.7,4,1,22,16,1.37,1.18,80.0,57.9,53.7,Minnesota Wild,13071.14,5,30.87,0.729
Faber-Jiricek,"['Faber Brock', 'Jiricek David']",pairing,479,8.0,0,0,6,2,0.68,0.07,,75.0,91.2,Minnesota Wild,2076.852,1,7.52,-0.688
Hughes-Petry,"['Hughes Quinn', 'Petry Jeff']",pairing,436,7.3,0,0,0,0,0.0,0.0,,,,Minnesota Wild,19748.469,2,16.51,
Kiersted-Middleton,"['Kiersted Matt', 'Middleton Jake']",pairing,398,6.6,0,0,5,6,0.27,0.26,,45.5,51.4,Minnesota Wild,1726.197,3,27.14,-0.288
Bogosian-Petry,"['Bogosian Zach', 'Petry Jeff']",pairing,362,6.0,0,0,0,0,0.0,0.0,,,,Minnesota Wild,2185.17,0,0.0,
Hughes-Spacek,"['Hughes Quinn', 'Spacek David']",pairing,195,3.2,0,0,9,9,0.53,0.57,,50.0,48.6,Minnesota Wild,4631.606,2,36.92,
Gustafsson-Hunt,"['Gustafsson Nyberg Viking', 'Hunt Daemon']",pairing,193,3.2,0,1,2,3,0.09,0.14,0.0,40.0,39.3,Minnesota Wild,35078.887,3,55.96,
Hughes-Kiersted,"['Hughes Quinn', 'Kiersted Matt']",pairing,170,2.8,0,0,0,0,0.0,0.0,,,,Minnesota Wild,10114.271,1,21.18,
Brodin-Jiricek,"['Brodin Jonas', 'Jiricek David']",pairing,159,2.6,0,1,2,3,0.13,0.24,0.0,40.0,35.6,Minnesota Wild,2028.985,2,45.28,
Middleton-Spacek,"['Middleton Jake', 'Spacek David']",pairing,148,2.5,0,0,0,0,0.0,0.0,,,,Minnesota Wild,810.766,3,72.97,
Faber-Petry,"['Faber Brock', 'Petry Jeff']",pairing,144,2.4,0,0,0,0,0.0,0.0,,,,Minnesota Wild,3285.804,1,25.0,
Faber-Kiersted,"['Faber Brock', 'Kiersted Matt']",pairing,135,2.2,0,0,0,0,0.0,0.0,,,,Minnesota Wild,1725.865,0,0.0,
Dobson-Matheson,"['Dobson Noah', 'Matheson Mike']",pairing,65547,1092.5,65,74,615,670,35.55,40.21,46.8,47.9,46.9,Montreal Canadiens,2144.384,519,28.5,-0.224
Hutson-Struble,"['Hutson Lane', 'Struble Jayden']",pairing,33181,553.0,43,30,347,362,20.18,21.57,58.9,48.9,48.3,Montreal Canadiens,2429.726,257,27.88,-0.214
Dobson-Hutson,"['Dobson Noah', 'Hutson Lane']",pairing,25288,421.5,30,28,248,261,15.08,14.92,51.7,48.7,50.3,Montreal Canadiens,2962.94,234,33.31,-0.052
Carrier-Matheson,"['Carrier Alexandre', 'Matheson Mike']",pairing,24137,402.3,41,37,314,322,19.3,19.99,52.6,49.4,49.1,Montreal Canadiens,1786.306,152,22.67,-0.381
Carrier-Hutson,"['Carrier Alexandre', 'Hutson Lane']",pairing,22375,372.9,23,38,194,249,11.11,15.98,37.7,43.8,41.0,Montreal Canadiens,2484.704,192,30.89,-0.144
Carrier-Xhekaj,"['Carrier Alexandre', 'Xhekaj Arber']",pairing,20803,346.7,19,11,152,172,9.04,10.81,63.3,46.9,45.6,Montreal Canadiens,1744.291,127,21.98,-0.399
Guhle-Hutson,"['Guhle Kaiden', 'Hutson Lane']",pairing,20236,337.3,16,22,170,160,10.36,9.93,42.1,51.5,51.1,Montreal Canadiens,2034.717,106,18.86,-0.444
Carrier-Guhle,"['Carrier Alexandre', 'Guhle Kaiden']",pairing,16207,270.1,21,14,149,134,9.2,7.92,60.0,52.7,53.8,Montreal Canadiens,1337.604,73,16.22,-0.559
Guhle-Matheson,"['Guhle Kaiden', 'Matheson Mike']",pairing,12943,215.7,13,23,134,155,8.49,10.29,36.1,46.4,45.2,Montreal Canadiens,1473.584,78,21.7,-0.428
Struble-Xhekaj,"['Struble Jayden', 'Xhekaj Arber']",pairing,9794,163.2,15,11,100,114,5.83,7.14,57.7,46.7,44.9,Montreal Canadiens,1664.644,69,25.36,-0.332
Carrier-Struble,"['Carrier Alexandre', 'Struble Jayden']",pairing,6645,110.8,16,6,74,69,4.93,4.2,72.7,51.7,54.0,Montreal Canadiens,1564.042,41,22.21,-0.409
Hutson-Xhekaj,"['Hutson Lane', 'Xhekaj Arber']",pairing,6502,108.4,10,4,56,52,3.12,2.9,71.4,51.9,51.8,Montreal Canadiens,2724.07,39,21.59,-0.327
Hutson-Matheson,"['Hutson Lane', 'Matheson Mike']",pairing,5714,95.2,4,1,32,33,1.67,2.0,80.0,49.2,45.5,Montreal Canadiens,2745.166,46,28.98,-0.164
Engstrom-Xhekaj,"['Engstrom Adam', 'Xhekaj Arber']",pairing,5684,94.7,2,4,44,48,2.87,2.92,33.3,47.8,49.5,Montreal Canadiens,1950.59,46,29.13,-0.226
Guhle-Xhekaj,"['Guhle Kaiden', 'Xhekaj Arber']",pairing,5582,93.0,6,3,49,45,3.13,2.88,66.7,52.1,52.0,Montreal Canadiens,1444.063,27,17.41,-0.524
Dobson-Guhle,"['Dobson Noah', 'Guhle Kaiden']",pairing,4788,79.8,3,4,32,55,1.7,3.3,42.9,36.8,34.0,Montreal Canadiens,1602.47,9,6.77,-0.743
Dobson-Struble,"['Dobson Noah', 'Struble Jayden']",pairing,3398,56.6,1,2,18,17,1.14,0.95,33.3,51.4,54.6,Montreal Canadiens,1881.651,20,21.19,-0.405
Engstrom-Struble,"['Engstrom Adam', 'Struble Jayden']",pairing,2449,40.8,5,0,27,22,1.61,1.26,100.0,55.1,56.1,Montreal Canadiens,1748.624,9,13.23,-0.59
Engstrom-Hutson,"['Engstrom Adam', 'Hutson Lane']",pairing,2307,38.5,1,1,12,11,0.46,0.55,50.0,52.2,45.3,Montreal Canadiens,2772.716,17,26.53,-0.215
Matheson-Struble,"['Matheson Mike', 'Struble Jayden']",pairing,2019,33.6,0,0,3,2,0.24,0.17,,60.0,58.1,Montreal Canadiens,1718.527,14,24.96,
Carrier-Dobson,"['Carrier Alexandre', 'Dobson Noah']",pairing,1982,33.0,0,1,10,13,0.52,0.91,0.0,43.5,36.1,Montreal Canadiens,1946.646,6,10.9,-0.625
Matheson-Xhekaj,"['Matheson Mike', 'Xhekaj Arber']",pairing,1858,31.0,0,0,0,0,0.0,0.0,,,,Montreal Canadiens,1915.3,10,19.38,
Dobson-Xhekaj,"['Dobson Noah', 'Xhekaj Arber']",pairing,1837,30.6,0,1,2,5,0.1,0.35,0.0,28.6,22.1,Montreal Canadiens,2100.744,11,21.56,
Guhle-Struble,"['Guhle Kaiden', 'Struble Jayden']",pairing,1698,28.3,3,2,12,14,0.61,0.66,60.0,46.2,48.1,Montreal Canadiens,1293.319,6,12.72,-0.639
Dobson-Engstrom,"['Dobson Noah', 'Engstrom Adam']",pairing,1266,21.1,1,0,6,11,0.34,0.64,100.0,35.3,34.5,Montreal Canadiens,2174.485,8,22.75,-0.347
Engstrom-Matheson,"['Engstrom Adam', 'Matheson Mike']",pairing,906,15.1,0,1,8,7,0.46,0.34,0.0,53.3,57.6,Montreal Canadiens,1996.193,5,19.87,-0.425
Engstrom-Guhle,"['Engstrom Adam', 'Guhle Kaiden']",pairing,781,13.0,0,0,3,0,0.17,0.0,,100.0,100.0,Montreal Canadiens,1494.121,8,36.88,
Reinbacher-Xhekaj,"['Reinbacher David', 'Xhekaj Arber']",pairing,682,11.4,0,0,0,0,0.0,0.0,,,,Montreal Canadiens,1114.755,4,21.11,
Hutson-Reinbacher,"['Hutson Lane', 'Reinbacher David']",pairing,678,11.3,0,1,0,3,0.0,0.16,0.0,0.0,0.0,Montreal Canadiens,1680.372,4,21.24,
Carrier-Engstrom,"['Carrier Alexandre', 'Engstrom Adam']",pairing,638,10.6,1,0,3,11,0.21,0.7,100.0,21.4,23.0,Montreal Canadiens,1813.169,1,5.64,-0.751
Matheson-Reinbacher,"['Matheson Mike', 'Reinbacher David']",pairing,164,2.7,1,0,3,3,0.16,0.26,100.0,50.0,38.6,Montreal Canadiens,1163.397,0,0.0,
Reinbacher-Struble,"['Reinbacher David', 'Struble Jayden']",pairing,134,2.2,0,0,0,0,0.0,0.0,,,,Montreal Canadiens,1005.849,2,53.73,
Josi-Skjei,"['Josi Roman', 'Skjei Brady']",pairing,29754,495.9,28,41,369,402,21.01,25.3,40.6,47.9,45.4,Nashville Predators,4232.885,214,25.89,-0.109
Perbix-Skjei,"['Perbix Nick', 'Skjei Brady']",pairing,21553,359.2,15,26,224,260,13.3,15.08,36.6,46.3,46.9,Nashville Predators,3490.978,141,23.55,-0.221
Hague-Perbix,"['Hague Nicolas', 'Perbix Nick']",pairing,13157,219.3,26,14,120,149,7.31,9.28,65.0,44.6,44.1,Nashville Predators,3237.355,83,22.71,-0.26
Blankenburg-Hague,"['Blankenburg Nick', 'Hague Nicolas']",pairing,11322,188.7,6,9,95,89,5.55,6.42,40.0,51.6,46.4,Nashville Predators,4476.065,62,19.71,-0.224
Skjei-Wilsby,"['Skjei Brady', 'Wilsby Adam']",pairing,9908,165.1,12,16,106,130,5.93,7.19,42.9,44.9,45.2,Nashville Predators,3516.38,62,22.53,-0.241
Hague-Josi,"['Hague Nicolas', 'Josi Roman']",pairing,9715,161.9,11,9,87,89,5.6,5.12,55.0,49.4,52.2,Nashville Predators,4058.774,56,20.75,-0.235
Barron-Wilsby,"['Barron Justin', 'Wilsby Adam']",pairing,8067,134.4,11,9,98,70,5.67,4.86,55.0,58.3,53.9,Nashville Predators,3736.53,78,34.81,0.045
Josi-Perbix,"['Josi Roman', 'Perbix Nick']",pairing,7839,130.7,10,10,79,73,5.03,4.94,50.0,52.0,50.4,Nashville Predators,4361.758,42,19.29,-0.242
Barron-Stastney,"['Barron Justin', 'Stastney Spencer']",pairing,7763,129.4,7,13,117,136,7.8,8.29,35.0,46.2,48.5,Nashville Predators,10145.01,59,27.36,0.411
Josi-Wilsby,"['Josi Roman', 'Wilsby Adam']",pairing,6980,116.3,6,7,67,54,4.4,3.43,46.2,55.4,56.2,Nashville Predators,4303.975,48,24.76,-0.128
Barron-Hague,"['Barron Justin', 'Hague Nicolas']",pairing,6027,100.5,8,15,90,101,5.48,6.78,34.8,47.1,44.7,Nashville Predators,3394.219,35,20.91,-0.287
Hague-Wilsby,"['Hague Nicolas', 'Wilsby Adam']",pairing,5767,96.1,7,6,67,80,3.62,4.72,53.8,45.6,43.4,Nashville Predators,3300.432,45,28.09,-0.138
Perbix-Wilsby,"['Perbix Nick', 'Wilsby Adam']",pairing,5634,93.9,5,9,39,45,2.53,2.71,35.7,46.4,48.2,Nashville Predators,3593.853,37,23.64,-0.211
Blankenburg-Stastney,"['Blankenburg Nick', 'Stastney Spencer']",pairing,5350,89.2,5,6,42,39,2.55,2.52,45.5,51.9,50.3,Nashville Predators,13423.839,39,26.24,0.657
Barron-Blankenburg,"['Barron Justin', 'Blankenburg Nick']",pairing,4259,71.0,7,8,66,74,3.63,4.39,46.7,47.1,45.3,Nashville Predators,5049.313,24,20.29,-0.164
Barron-Skjei,"['Barron Justin', 'Skjei Brady']",pairing,3686,61.4,2,4,31,41,1.9,2.4,33.3,43.1,44.2,Nashville Predators,3637.697,24,23.44,-0.211
Barron-Josi,"['Barron Justin', 'Josi Roman']",pairing,3513,58.5,1,0,13,16,0.59,0.72,100.0,44.8,45.2,Nashville Predators,4497.948,23,23.57,-0.138
Blankenburg-Josi,"['Blankenburg Nick', 'Josi Roman']",pairing,3212,53.5,6,4,33,55,1.61,3.8,60.0,37.5,29.8,Nashville Predators,5779.696,44,49.32,0.53
Hague-Skjei,"['Hague Nicolas', 'Skjei Brady']",pairing,1795,29.9,0,1,9,11,0.55,0.81,0.0,45.0,40.6,Nashville Predators,3194.279,12,24.07,-0.234
Blankenburg-Perbix,"['Blankenburg Nick', 'Perbix Nick']",pairing,1388,23.1,0,0,5,11,0.17,0.7,,31.2,19.7,Nashville Predators,4863.168,5,12.97,-0.339
Blankenburg-Wilsby,"['Blankenburg Nick', 'Wilsby Adam']",pairing,1226,20.4,2,1,13,10,0.76,0.67,66.7,56.5,53.3,Nashville Predators,4863.898,16,46.98,0.404
Blankenburg-Skjei,"['Blankenburg Nick', 'Skjei Brady']",pairing,1190,19.8,2,1,6,10,0.56,0.49,66.7,37.5,53.8,Nashville Predators,4751.807,17,51.43,0.492
Stastney-Wilsby,"['Stastney Spencer', 'Wilsby Adam']",pairing,1113,18.6,1,1,7,11,0.46,0.7,50.0,38.9,39.3,Nashville Predators,9885.471,9,29.11,0.428
Hague-Stastney,"['Hague Nicolas', 'Stastney Spencer']",pairing,966,16.1,0,0,1,0,0.02,0.0,,100.0,100.0,Nashville Predators,8712.857,11,40.99,
Barron-Perbix,"['Barron Justin', 'Perbix Nick']",pairing,952,15.9,1,1,4,5,0.32,0.28,50.0,44.4,53.7,Nashville Predators,3709.511,2,7.56,-0.552
Skjei-Stastney,"['Skjei Brady', 'Stastney Spencer']",pairing,557,9.3,0,1,3,4,0.18,0.18,0.0,42.9,49.0,Nashville Predators,9547.439,5,32.32,
Perbix-Stastney,"['Perbix Nick', 'Stastney Spencer']",pairing,365,6.1,0,0,0,0,0.0,0.0,,,,Nashville Predators,9654.783,3,29.59,
Josi-Stastney,"['Josi Roman', 'Stastney Spencer']",pairing,216,3.6,0,0,0,0,0.0,0.0,,,,Nashville Predators,12248.221,4,66.67,
Hamilton-Siegenthaler,"['Hamilton Dougie', 'Siegenthaler Jonas']",pairing,55373,922.9,58,56,553,569,32.37,35.08,50.9,49.3,48.0,New Jersey Devils,2885.193,397,25.81,-0.222
Dillon-Nemec,"['Dillon Brenden', 'Nemec Simon']",pairing,32477,541.3,20,40,375,333,22.38,20.36,33.3,53.0,52.4,New Jersey Devils,1983.618,242,26.83,-0.274
Hughes-Pesce,"['Hughes Luke', 'Pesce Brett']",pairing,22100,368.3,23,24,295,237,17.7,14.38,48.9,55.5,55.2,New Jersey Devils,3506.935,181,29.48,-0.09
Dillon-Hughes,"['Dillon Brenden', 'Hughes Luke']",pairing,15790,263.2,24,29,249,228,14.46,14.28,45.3,52.2,50.3,New Jersey Devils,2669.166,128,29.18,-0.166
Hughes-Kovacevic,"['Hughes Luke', 'Kovacevic Johnathan']",pairing,14209,236.8,10,13,151,143,9.13,8.31,43.5,51.4,52.4,New Jersey Devils,3725.742,93,23.56,-0.202
Hughes-Nemec,"['Hughes Luke', 'Nemec Simon']",pairing,13834,230.6,18,21,152,155,9.9,9.17,46.2,49.5,51.9,New Jersey Devils,3276.302,165,42.94,0.185
Nemec-Siegenthaler,"['Nemec Simon', 'Siegenthaler Jonas']",pairing,10884,181.4,14,4,105,113,5.93,6.85,77.8,48.2,46.4,New Jersey Devils,2643.822,75,24.81,-0.263
Kovacevic-Siegenthaler,"['Kovacevic Johnathan', 'Siegenthaler Jonas']",pairing,7860,131.0,7,7,67,61,3.99,3.32,50.0,52.3,54.6,New Jersey Devils,2722.321,44,20.15,-0.359
Dillon-Hamilton,"['Dillon Brenden', 'Hamilton Dougie']",pairing,6649,110.8,8,7,52,52,3.46,3.28,53.3,50.0,51.3,New Jersey Devils,2184.443,52,28.15,-0.228
Hamilton-Hughes,"['Hamilton Dougie', 'Hughes Luke']",pairing,5598,93.3,1,5,24,32,1.24,2.2,16.7,42.9,36.0,New Jersey Devils,3703.622,54,34.73,0.041
Pesce-Siegenthaler,"['Pesce Brett', 'Siegenthaler Jonas']",pairing,4973,82.9,11,7,66,78,4.24,4.55,61.1,45.8,48.2,New Jersey Devils,2642.916,24,17.37,-0.426
Cholowski-Nemec,"['Cholowski Dennis', 'Nemec Simon']",pairing,3844,64.1,3,4,29,27,1.68,2.44,42.9,51.8,40.8,New Jersey Devils,2532.066,28,26.22,-0.242
Hamilton-Pesce,"['Hamilton Dougie', 'Pesce Brett']",pairing,3822,63.7,4,0,14,14,1.0,0.71,100.0,50.0,58.7,New Jersey Devils,2874.5,38,35.79,-0.005
Dillon-Pesce,"['Dillon Brenden', 'Pesce Brett']",pairing,3389,56.5,6,7,71,42,4.79,2.49,46.2,62.8,65.8,New Jersey Devils,2018.6,18,19.12,-0.439
Dillon-Siegenthaler,"['Dillon Brenden', 'Siegenthaler Jonas']",pairing,3224,53.7,3,0,22,20,1.4,1.25,100.0,52.4,52.8,New Jersey Devils,2004.5,18,20.1,-0.419
Hamilton-Nemec,"['Hamilton Dougie', 'Nemec Simon']",pairing,3204,53.4,3,1,35,33,1.9,2.02,75.0,51.5,48.5,New Jersey Devils,2768.962,46,51.69,0.334
Kovacevic-Nemec,"['Kovacevic Johnathan', 'Nemec Simon']",pairing,2540,42.3,2,2,35,26,2.15,1.44,50.0,57.4,59.9,New Jersey Devils,2756.745,10,14.17,-0.486
Cholowski-Hamilton,"['Cholowski Dennis', 'Hamilton Dougie']",pairing,2518,42.0,5,4,42,37,2.49,2.61,55.6,53.2,48.8,New Jersey Devils,2760.799,17,24.31,-0.265
Dillon-Kovacevic,"['Dillon Brenden', 'Kovacevic Johnathan']",pairing,2507,41.8,3,1,9,9,0.71,0.78,75.0,50.0,47.7,New Jersey Devils,2096.705,22,31.59,-0.161
Hughes-Siegenthaler,"['Hughes Luke', 'Siegenthaler Jonas']",pairing,2460,41.0,0,0,0,0,0.0,0.0,,,,New Jersey Devils,3576.238,28,40.98,
Cholowski-Kovacevic,"['Cholowski Dennis', 'Kovacevic Johnathan']",pairing,1772,29.5,1,1,31,37,1.93,2.12,50.0,45.6,47.6,New Jersey Devils,2600.556,14,28.44,-0.188
Nemec-Pesce,"['Nemec Simon', 'Pesce Brett']",pairing,1760,29.3,0,4,11,11,0.59,0.98,0.0,50.0,37.7,New Jersey Devils,2607.694,14,28.64,-0.183
Kovacevic-Pesce,"['Kovacevic Johnathan', 'Pesce Brett']",pairing,1459,24.3,0,1,6,10,0.28,0.48,0.0,37.5,36.5,New Jersey Devils,2764.048,8,19.74,-0.364
Cholowski-Dillon,"['Cholowski Dennis', 'Dillon Brenden']",pairing,1413,23.6,0,1,9,11,0.47,0.77,0.0,45.0,38.2,New Jersey Devils,1916.251,11,28.03,-0.253
Cholowski-Hughes,"['Cholowski Dennis', 'Hughes Luke']",pairing,779,13.0,0,1,9,6,0.42,0.4,0.0,60.0,50.8,New Jersey Devils,3426.801,4,18.49,-0.337
Hamilton-Kovacevic,"['Hamilton Dougie', 'Kovacevic Johnathan']",pairing,598,10.0,0,0,0,0,0.0,0.0,,,,New Jersey Devils,3012.988,6,36.12,
Cholowski-Siegenthaler,"['Cholowski Dennis', 'Siegenthaler Jonas']",pairing,438,7.3,0,0,2,2,0.21,0.1,,50.0,67.4,New Jersey Devils,2482.052,2,16.44,
Pulock-Schaefer,"['Pulock Ryan', 'Schaefer Matthew']",pairing,32818,547.0,26,37,345,406,20.36,24.26,41.3,45.9,45.6,New York Islanders,4082.969,324,35.54,0.09
DeAngelo-Pelech,"['DeAngelo Tony', 'Pelech Adam']",pairing,27995,466.6,31,24,273,299,16.3,18.56,56.4,47.7,46.8,New York Islanders,3832.328,295,37.94,0.121
Pelech-Pulock,"['Pelech Adam', 'Pulock Ryan']",pairing,13853,230.9,9,28,152,175,8.66,10.63,24.3,46.5,44.9,New York Islanders,3089.056,101,26.25,-0.195
Mayfield-Schaefer,"['Mayfield Scott', 'Schaefer Matthew']",pairing,12298,205.0,19,15,175,160,10.74,9.12,55.9,52.2,54.1,New York Islanders,3848.241,111,32.49,0.004
Mayfield-Soucy,"['Mayfield Scott', 'Soucy Carson']",pairing,9016,150.3,9,12,81,72,5.19,4.8,42.9,52.9,52.0,New York Islanders,3408.776,46,18.37,-0.341
Boqvist-Mayfield,"['Boqvist Adam', 'Mayfield Scott']",pairing,7052,117.5,9,6,102,93,5.91,5.31,60.0,52.3,52.7,New York Islanders,2064.18,49,25.01,-0.307
DeAngelo-Romanov,"['DeAngelo Tony', 'Romanov Alexander']",pairing,6458,107.6,3,9,64,70,4.15,4.34,25.0,47.8,48.8,New York Islanders,3144.419,76,42.37,0.161
Pelech-Schaefer,"['Pelech Adam', 'Schaefer Matthew']",pairing,6136,102.3,6,2,53,42,2.97,2.64,75.0,55.8,52.9,New York Islanders,4742.207,44,25.81,-0.069
DeAngelo-Schaefer,"['DeAngelo Tony', 'Schaefer Matthew']",pairing,5791,96.5,5,8,49,62,2.69,3.68,38.5,44.1,42.2,New York Islanders,4793.679,109,67.76,0.852
Pelech-Soucy,"['Pelech Adam', 'Soucy Carson']",pairing,4386,73.1,4,4,23,28,1.28,1.65,50.0,45.1,43.8,New York Islanders,4381.946,46,37.76,0.163
Mayfield-Pelech,"['Mayfield Scott', 'Pelech Adam']",pairing,4130,68.8,3,2,20,16,1.41,0.92,60.0,55.6,60.5,New York Islanders,2819.252,23,20.05,-0.353
Mayfield-Romanov,"['Mayfield Scott', 'Romanov Alexander']",pairing,3757,62.6,5,8,37,34,1.82,2.39,38.5,52.1,43.2,New York Islanders,2306.238,26,24.91,-0.289
DeAngelo-Soucy,"['DeAngelo Tony', 'Soucy Carson']",pairing,2182,36.4,5,1,27,29,1.93,2.13,83.3,48.2,47.6,New York Islanders,4911.001,15,24.75,-0.078
DeAngelo-Mayfield,"['DeAngelo Tony', 'Mayfield Scott']",pairing,2005,33.4,0,0,0,0,0.0,0.0,,,,New York Islanders,3089.103,17,30.52,
Boqvist-DeAngelo,"['Boqvist Adam', 'DeAngelo Tony']",pairing,1986,33.1,6,2,16,20,1.17,1.28,75.0,44.4,47.8,New York Islanders,2788.207,18,32.63,-0.081
Boqvist-Schaefer,"['Boqvist Adam', 'Schaefer Matthew']",pairing,1745,29.1,2,3,26,27,1.08,1.86,40.0,49.1,36.7,New York Islanders,3444.391,17,35.07,0.027
DeAngelo-Pulock,"['DeAngelo Tony', 'Pulock Ryan']",pairing,1528,25.5,1,1,4,5,0.31,0.19,50.0,44.4,62.2,New York Islanders,3306.199,14,32.98,-0.03
Schaefer-Soucy,"['Schaefer Matthew', 'Soucy Carson']",pairing,1521,25.4,1,0,1,0,0.17,0.0,100.0,100.0,100.0,New York Islanders,6167.725,10,23.67,
Mayfield-Pulock,"['Mayfield Scott', 'Pulock Ryan']",pairing,1350,22.5,0,0,1,3,0.03,0.12,,25.0,18.6,New York Islanders,2450.628,3,8.0,
Boqvist-Pelech,"['Boqvist Adam', 'Pelech Adam']",pairing,860,14.3,0,0,1,0,0.06,0.0,,100.0,100.0,New York Islanders,2602.853,10,41.86,
Pulock-Soucy,"['Pulock Ryan', 'Soucy Carson']",pairing,783,13.1,0,0,1,0,0.07,0.0,,100.0,100.0,New York Islanders,3819.67,7,32.18,
Romanov-Schaefer,"['Romanov Alexander', 'Schaefer Matthew']",pairing,467,7.8,1,0,1,1,0.12,0.1,100.0,50.0,54.5,New York Islanders,3894.066,8,61.67,
Boqvist-Pulock,"['Boqvist Adam', 'Pulock Ryan']",pairing,383,6.4,0,0,0,0,0.0,0.0,,,,New York Islanders,2256.313,2,18.8,
Boqvist-Soucy,"['Boqvist Adam', 'Soucy Carson']",pairing,373,6.2,0,0,0,1,0.0,0.02,,0.0,0.0,New York Islanders,3215.896,4,38.61,
Pulock-Romanov,"['Pulock Ryan', 'Romanov Alexander']",pairing,304,5.1,0,0,0,0,0.0,0.0,,,,New York Islanders,2529.833,2,23.68,
Boqvist-Romanov,"['Boqvist Adam', 'Romanov Alexander']",pairing,198,3.3,0,0,0,0,0.0,0.0,,,,New York Islanders,2131.561,19,345.45,
Pelech-Romanov,"['Pelech Adam', 'Romanov Alexander']",pairing,153,2.5,0,0,0,0,0.0,0.0,,,,New York Islanders,2916.056,0,0.0,
Fox-Gavrikov,"['Fox Adam', 'Gavrikov Vladislav']",pairing,10587,176.4,32,44,349,394,20.74,23.3,42.1,47.0,47.1,New York Rangers,2547.162,285,96.91,1.303
Borgen-Robertson,"['Borgen Will', 'Robertson Matthew']",pairing,8432,140.5,29,24,224,293,13.82,18.5,54.7,43.3,42.8,New York Rangers,1719.722,108,46.11,0.125
Gavrikov-Schneider,"['Gavrikov Vladislav', 'Schneider Braden']",pairing,7842,130.7,27,22,246,243,14.67,13.98,55.1,50.3,51.2,New York Rangers,2219.914,143,65.65,0.593
Robertson-Schneider,"['Robertson Matthew', 'Schneider Braden']",pairing,4088,68.1,14,14,119,125,7.49,7.01,50.0,48.8,51.6,New York Rangers,1865.797,90,79.26,0.861
Fortescue-Schneider,"['Fortescue Drew', 'Schneider Braden']",pairing,2718,45.3,9,10,79,94,5.28,5.82,47.4,45.7,47.6,New York Rangers,2275.101,56,74.17,0.784
Borgen-Soucy,"['Borgen Will', 'Soucy Carson']",pairing,2492,41.5,3,5,66,80,4.29,4.28,37.5,45.2,50.1,New York Rangers,3274.219,42,60.67,0.572
Borgen-Vaakanainen,"['Borgen Will', 'Vaakanainen Urho']",pairing,2069,34.5,3,9,47,53,3.21,2.67,25.0,47.0,54.6,New York Rangers,1433.138,21,36.54,-0.107
Borgen-Schneider,"['Borgen Will', 'Schneider Braden']",pairing,1545,25.8,8,7,63,61,3.76,3.38,53.3,50.8,52.7,New York Rangers,2139.609,29,67.57,0.629
Schneider-Soucy,"['Schneider Braden', 'Soucy Carson']",pairing,1380,23.0,5,6,25,34,1.59,2.36,45.5,42.4,40.3,New York Rangers,3540.189,61,159.13,2.743
Fox-Robertson,"['Fox Adam', 'Robertson Matthew']",pairing,855,14.2,2,1,12,16,0.71,0.98,66.7,42.9,42.2,New York Rangers,2140.293,15,63.16,0.532
Schneider-Vaakanainen,"['Schneider Braden', 'Vaakanainen Urho']",pairing,808,13.5,1,0,8,8,0.29,0.36,100.0,50.0,44.6,New York Rangers,1550.278,23,102.48,1.342
Borgen-Gavrikov,"['Borgen Will', 'Gavrikov Vladislav']",pairing,753,12.6,3,1,18,14,1.05,0.87,75.0,56.2,54.6,New York Rangers,2046.156,11,52.59,0.294
Gavrikov-Robertson,"['Gavrikov Vladislav', 'Robertson Matthew']",pairing,657,10.9,1,1,13,8,0.68,0.33,50.0,61.9,67.7,New York Rangers,1784.378,14,76.71,0.799
Iorio-Vaakanainen,"['Iorio Vincent', 'Vaakanainen Urho']",pairing,631,10.5,0,2,20,20,1.17,0.97,0.0,50.0,54.7,New York Rangers,13815.347,2,11.41,0.365
Iorio-Robertson,"['Iorio Vincent', 'Robertson Matthew']",pairing,524,8.7,1,1,22,27,1.59,1.54,50.0,44.9,50.9,New York Rangers,16329.947,8,54.96,1.523
Borgen-Fox,"['Borgen Will', 'Fox Adam']",pairing,486,8.1,0,0,5,2,0.34,0.07,,71.4,83.4,New York Rangers,2452.429,8,59.26,
Fortescue-Fox,"['Fortescue Drew', 'Fox Adam']",pairing,358,6.0,2,1,10,10,0.6,0.63,66.7,50.0,48.8,New York Rangers,2636.952,5,50.28,0.292
Fox-Schneider,"['Fox Adam', 'Schneider Braden']",pairing,308,5.1,1,1,3,11,0.23,0.35,50.0,21.4,39.6,New York Rangers,2669.154,8,93.51,1.239
